コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
2373,2020/10,14,33984307000,1353543000,35,20.73,0.0,0.0
2374,2020/03,46.6,43167817000,1468388000,15,41.85,9.0,9.0
2375,2020/10,37,19770958000,1002304000,22,14.23,3.0,8.0
2376,2020/03,65.4,13878875000,582707000,12.5,20.74,0.0,9.0
2378,2020/03,40.5,45049105000,3267099000,26,41.33,0.0,0.0
2379,2020/02,74.3,46415333000,14356334000,56,29.92,7.0,10.0
2384,2020/12,19.9,257192000000,10960000000,35,17.45,2.0,2.0
2385,2020/06,75.7,9312499000,1047728000,5,14.3,2.0,2.0
2389,2020/12,44.1,88768000000,3240000000,35,10.37,0.0,0.0
2391,2020/07,83.2,3052636000,729666000,41,60.8,9.0,9.0
2393,2020/03,75.3,19097258000,2155590000,46,47.82,0.0,5.0
2395,2020/03,41.8,14561084000,2228251000,5,4.85,1.0,1.0
2397,2020/03,84.3,361713000,-123317000,-,-,0.0,4.0
2398,2020/03,30.9,91196000000,4240000000,10,36.59,0.0,8.0
2406,2020/12,32,7867000000,123000000,2,-,2.0,7.0
2408,2020/12,86.8,1911075000,-367658000,10,-,0.0,0.0
2410,2020/09,68.1,11021168000,-244648000,20,-,1.0,5.0
2411,2020/03,76.9,11115000000,460000000,25,1212.9,0.0,3.0
2412,2020/03,55.4,37271000000,8394000000,25,71.71,8.0,9.0
2413,2020/03,74.9,130973000000,34337000000,8.5,20.96,7.0,9.0
2415,2020/03,28.2,85989819000,2002510000,16,28.85,2.0,2.0
2417,2020/02,81.3,3052412000,-333636000,15,-,0.0,9.0
2418,2020/12,26.3,27114000000,-11476000000,-,-,0.0,8.0
2424,2020/07,18.8,7987918000,-989951000,-,-,0.0,5.0
2425,2020/03,52.8,9055582000,122810000,7,10.57,0.0,9.0
2427,2020/12,20.8,366711000000,14337000000,10,90.82,4.0,9.0
2428,2020/06,34.6,9379528000,817404000,13.15,189.69,0.0,8.0
2429,2020/12,36.1,143571000000,6251000000,101.7,15,0.0,0.0
2432,2020/03,70.6,121387000000,-45676000000,20,-,0.0,0.0
2433,2020/03,33.6,1466249000000,55131000000,30,24.1,7.0,9.0
2435,2020/03,7,15132000000,549000000,4,10.53,0.0,0.0
2436,2020/12,59.2,4990000000,156000000,12,332.97,2.0,6.0
2437,2020/05,57.1,1719155000,-271469000,-,-,0.0,0.0
2438,2020/04,87,6575955000,709112000,10,36.93,1.0,9.0
2440,2020/03,80.1,30927243000,1821826000,8,34.55,0.0,1.0
2445,2020/03,30.5,46065498000,3703166000,14,24.44,0.0,3.0
2449,2020/08,82,4759000000,241469000,40,89.57,9.0,9.0
2453,2020/09,35.8,12057491000,1367847000,16,50.45,5.0,5.0
2454,2020/03,65.1,15604645000,430627000,3,13.11,0.0,0.0
2459,2020/05,64.6,1927915000,-10912000,-,-,0.0,6.0
2461,2020/12,77.7,29379000000,2852000000,19,72.3,0.0,9.0
2462,2020/05,25.3,51072226000,2000165000,28,29.63,0.0,0.0
2464,2020/03,57.7,5600989000,160238000,11,352.44,1.0,8.0
2468,2020/03,65.8,2735333000,10502000,3,-,0.0,0.0
2469,2020/03,30.4,40825821000,1267662000,35,50.16,1.0,2.0
2471,2020/11,39.4,21009000000,2228000000,3.3,10,0.0,0.0
2475,2020/03,72.8,43108338000,4956135000,27.5,15.61,4.0,4.0
2477,2020/06,90.8,1650002000,1163733000,26.5,27.85,5.0,5.0
2479,2020/03,50.8,3034411000,141206000,1,18.99,0.0,10.0
2480,2020/03,82.7,1065711000,425766000,28,22.62,2.0,9.0
2481,2020/06,89.6,2810492000,123501000,12,92.08,0.0,9.0
2483,2020/03,73,11550579000,813505000,42,38.08,5.0,9.0
2484,2020/08,79.1,10306463000,-2623102000,-,-,0.0,7.0
2485,2020/09,66.3,11919000000,595000000,20,103.77,3.0,5.0
2487,2020/03,76.9,9936197000,363440000,26,63.44,0.0,3.0
2488,2020/03,57.4,6245122000,470997000,25,32.89,0.0,2.0
2489,2020/03,64.6,37304590000,197114000,2.5,80.93,1.0,3.0
2491,2020/12,65.3,29171000000,6218000000,41,26.49,3.0,3.0
2492,2020/12,86.8,8777000000,1471000000,3.71,83.74,0.0,0.0
2493,2020/11,74.9,5653207000,265018000,5,18.92,0.0,5.0
2497,2020/03,78.3,20911573000,5101046000,13,78.26,0.0,0.0
2498,2020/09,25.2,62880920000,2707011000,42.5,14.29,6.0,9.0
2499,2020/12,35.1,4550000000,160000000,7,86.8,4.0,4.0
2501,2020/12,24.3,434723000000,-15938000000,42,-,0.0,9.0
2502,2020/12,34.2,2027762000000,135167000000,106,49.84,9.0,9.0
2503,2020/12,34.1,1849545000000,102919000000,65,76.91,4.0,9.0
2531,2020/03,52.1,281191000000,15836000000,20,40.01,5.0,5.0
2533,2020/12,38.7,77712000000,2221000000,7,37.05,0.0,9.0
2540,2020/03,87.3,10478935000,598984000,40,70.11,0.0,9.0
2573,2020/12,84.5,51443000000,848000000,60,52.21,0.0,9.0
2579,2020/12,53.4,791956000000,-11722000000,25,-,0.0,2.0
2587,2020/12,49.7,1178137000000,96177000000,78,46.16,0.0,6.0
2588,2020/03,15.7,45453000000,1859000000,-,-,0.0,5.0
2590,2021/01,51.8,158227000000,5602000000,60,30.37,0.0,10.0
2593,2020/04,51,483360000000,19940000000,40,66.56,0.0,9.0
2594,2020/03,69.5,62664000000,531000000,20,53.79,0.0,7.0
2597,2020/12,40.6,14609000000,-315000000,-,-,0.0,9.0
2599,2020/03,36.1,15672485000,408105000,27,108.76,0.0,6.0
2602,2020/03,50.2,333416000000,13133000000,80,35.05,2.0,9.0
2607,2020/03,42.3,414727000000,23598000000,56,27.29,7.0,9.0
2608,2020/03,41.1,12303700000,-255314000,-,-,0.0,0.0
2612,2020/03,73.1,33781000000,3255000000,110,43.3,0.0,0.0
2613,2020/03,60.6,178196000000,6661000000,100,30.42,0.0,9.0
2651,2020/02,20,730236000000,62943000000,150,100.77,0.0,0.0
2652,2020/09,47,9017937000,257274000,1,4.76,0.0,9.0
2653,2020/02,14.3,205477000000,625000000,10,63.51,0.0,5.0
2654,2020/03,68.5,19842288000,1183226000,10,20.81,0.0,9.0
2659,2020/02,73.3,184832000000,10622000000,53,21.63,10.0,10.0
2664,2020/03,50.3,270313000000,5675000000,45,26.84,0.0,10.0
2666,2020/03,39.7,7601141000,70090000,-,0,0.0,10.0
2668,2020/02,64.8,15722834000,249044000,30,2702.46,0.0,9.0
2669,2020/02,74.5,84703347000,1728899000,65,45.68,0.0,9.0
2670,2020/02,87,272361000000,43374000000,170,52.79,0.0,10.0
2674,2020/03,80.5,19350453000,831504000,40,138.54,0.0,7.0
